CS,IsFirstTime,MIP,Units,OCLTV,DTI,OrigUPB,LTV,OrigInterestRate,OrigLoanTerm,EverDelinquent,MonthsDelinquent,MonthsInRepayment,CreditRange,LTV_range,Repay_range
850,0,25,1,89,27,117000,89,6.75,360,0,0,52,4,High,4-8yrs
850,0,0,1,73,17,109000,73,6.5,360,0,0,144,4,High,8-12yrs
850,0,0,1,75,16,88000,75,6.875,360,0,0,67,4,High,4-8yrs
850,0,0,1,76,14,160000,76,6.875,360,0,0,35,4,High,0-4yrs
850,0,0,1,78,18,109000,78,7.125,360,0,0,54,4,High,4-8yrs
850,0,25,1,89,40,207000,89,7.125,360,0,0,42,4,High,0-4yrs
850,0,25,1,90,21,111000,90,6.875,360,0,0,44,4,High,0-4yrs
850,1,30,1,95,38,55000,95,7,345,0,0,64,4,High,4-8yrs
850,1,30,1,95,27,35000,95,7.125,360,1,104,212,4,High,16-20yrs
850,0,0,1,80,19,126000,80,6.5,360,0,0,37,4,High,0-4yrs
850,0,12,1,77,18,200000,77,6.75,360,0,0,47,4,High,0-4yrs
850,0,12,1,85,38,70000,85,6.75,360,0,0,53,4,High,4-8yrs
850,0,25,1,90,19,93000,90,7.25,360,0,0,55,4,High,4-8yrs
850,0,25,1,90,23,79000,90,6.625,360,0,0,66,4,High,4-8yrs
850,0,25,1,90,45,54000,90,7,360,1,5,55,4,High,4-8yrs
850,0,30,1,95,28,80000,95,7.75,360,1,23,55,4,High,4-8yrs
850,0,25,1,90,27,231000,90,6.75,360,0,0,26,4,High,0-4yrs
850,0,25,1,90,29,145000,90,6.5,360,0,0,38,4,High,0-4yrs
850,0,25,1,90,15,187000,90,6.75,360,0,0,36,4,High,0-4yrs
850,0,25,1,90,43,148000,90,7,360,0,0,39,4,High,0-4yrs
850,0,0,1,80,29,79000,80,6.75,360,0,0,40,4,High,0-4yrs
850,0,12,1,85,15,90000,85,6.625,360,0,0,11,4,High,0-4yrs
850,0,30,1,93,25,65000,93,6.75,360,0,0,55,4,High,4-8yrs
850,0,0,1,70,17,86000,70,6.75,360,0,0,176,4,High,12-16yrs
850,0,0,1,74,16,122000,74,6.75,360,0,0,46,4,High,0-4yrs
850,0,0,1,75,24,157000,75,7.2,360,0,0,197,4,High,16-20yrs
850,0,0,1,79,43,55000,79,7.5,360,1,32,210,4,High,16-20yrs
850,0,12,1,85,29,94000,85,6.75,360,0,0,56,4,High,4-8yrs
850,0,25,1,89,28,63000,89,7,360,0,0,118,4,High,8-12yrs
850,0,25,1,90,17,50000,90,7,360,0,0,63,4,High,4-8yrs
850,0,30,1,95,45,109000,95,6.875,360,0,0,38,4,High,0-4yrs
850,0,30,1,95,18,100000,95,6.625,360,0,0,46,4,High,0-4yrs
850,0,0,1,75,26,191000,75,6.875,360,0,0,24,4,High,0-4yrs
850,0,0,1,80,20,204000,80,6.75,360,0,0,28,4,High,0-4yrs
850,0,30,1,95,40,117000,95,6.75,360,1,1,91,4,High,4-8yrs
850,0,0,1,80,35,222000,80,6.625,360,0,0,54,4,High,4-8yrs
850,0,25,1,90,29,189000,90,6.625,360,1,2,50,4,High,4-8yrs
850,0,0,1,85,46,57000,85,7.625,360,0,0,24,4,High,0-4yrs
850,0,0,1,80,24,202000,80,6.875,360,0,0,22,4,High,0-4yrs
850,0,30,1,95,21,137000,95,7.25,360,0,0,28,4,High,0-4yrs
850,0,30,1,95,18,56000,95,7.5,360,0,0,211,4,High,16-20yrs
850,0,0,1,80,29,140000,80,6.625,360,1,1,212,4,High,16-20yrs
850,0,0,1,75,39,18000,75,7.125,360,1,4,199,4,High,16-20yrs
850,0,30,1,95,35,109000,95,7.875,360,1,2,39,4,High,0-4yrs
850,0,30,1,95,33,76000,95,7,360,0,0,55,4,High,4-8yrs
850,0,30,1,95,25,77000,95,6.75,360,0,0,56,4,High,4-8yrs
850,0,30,1,95,38,109000,95,7.25,360,0,0,23,4,High,0-4yrs
850,0,0,1,70,16,100000,70,6.5,360,0,0,30,4,High,0-4yrs
850,0,0,1,72,24,151000,72,6.75,360,0,0,35,4,High,0-4yrs
850,0,30,1,95,23,118000,95,6.875,360,0,0,125,4,High,8-12yrs
850,0,30,1,95,48,182000,95,6.75,360,0,0,41,4,High,0-4yrs
850,0,0,1,76,30,98000,76,6.875,360,0,0,211,4,High,16-20yrs
850,0,0,1,80,31,89000,80,6.25,360,0,0,76,4,High,4-8yrs
850,0,0,1,80,30,172000,80,6.5,360,0,0,54,4,High,4-8yrs
850,0,25,1,90,15,82000,90,7.125,360,0,0,49,4,High,4-8yrs
850,0,0,1,62,22,240000,62,6.5,360,0,0,47,4,High,0-4yrs
850,0,30,1,95,20,102000,95,7.125,360,0,0,44,4,High,0-4yrs
850,0,30,1,95,18,173000,95,6.625,360,0,0,18,4,High,0-4yrs
850,0,0,1,44,17,200000,44,6.75,360,0,0,66,4,Medium,4-8yrs
850,0,30,1,95,31,77000,95,6.625,360,1,2,212,4,High,16-20yrs
850,0,0,1,32,56,51000,32,7.5,360,0,0,19,4,Medium,0-4yrs
850,0,0,1,64,19,169000,64,7.125,360,0,0,44,4,High,0-4yrs
850,0,0,1,78,38,101000,78,7.125,360,1,23,43,4,High,0-4yrs
850,0,0,1,80,32,152000,80,6.625,360,1,1,211,4,High,16-20yrs
850,0,30,1,91,28,50000,91,7.5,360,1,20,60,4,High,4-8yrs
850,0,30,1,95,12,141000,95,6.75,360,0,0,54,4,High,4-8yrs
850,0,0,1,73,39,47000,73,6.5,360,0,0,83,4,High,4-8yrs
850,0,0,1,53,24,90000,53,6.75,360,1,10,95,4,High,4-8yrs
850,0,0,1,70,6,126000,70,8.125,360,0,0,29,4,High,0-4yrs
850,0,30,1,95,24,128000,95,7.75,360,1,3,45,4,High,0-4yrs
850,0,30,1,95,31,133000,95,7.625,360,1,10,13,4,High,0-4yrs
850,0,30,1,95,31,135000,95,6.875,360,1,3,29,4,High,0-4yrs
850,0,0,1,69,37,111000,69,7.15,360,0,0,44,4,High,0-4yrs
850,0,0,1,75,14,115000,75,6.875,360,0,0,6,4,High,0-4yrs
850,0,25,1,90,36,115000,90,6.75,360,0,0,48,4,High,0-4yrs
850,0,25,1,90,43,56000,90,7.25,360,0,0,50,4,High,4-8yrs
850,0,25,1,90,22,144000,90,6.875,360,0,0,62,4,High,4-8yrs
850,0,0,1,80,31,146000,80,7.375,360,0,0,48,4,High,0-4yrs
850,0,25,1,90,42,212000,90,7.25,360,1,34,60,4,High,4-8yrs
850,0,0,1,72,34,176000,72,6.875,360,0,0,14,4,High,0-4yrs
850,0,0,1,76,31,200000,76,6.75,360,0,0,44,4,High,0-4yrs
850,0,0,1,79,31,214000,79,6.875,360,0,0,14,4,High,0-4yrs
850,0,0,1,80,33,190000,80,6.5,360,1,2,54,4,High,4-8yrs
850,0,0,1,60,35,111000,60,6.25,360,1,5,67,4,High,4-8yrs
850,0,25,2,90,38,212000,90,6.75,360,1,35,37,4,High,0-4yrs
850,0,0,1,70,39,227000,70,6.375,360,0,0,52,4,High,4-8yrs
850,0,0,1,32,21,99000,32,7.25,360,0,0,15,4,Medium,0-4yrs
850,0,0,1,75,11,83000,75,7.75,360,0,0,53,4,High,4-8yrs
850,0,30,1,95,34,49000,95,6.75,360,0,0,211,4,High,16-20yrs
850,0,0,1,54,19,29000,54,7.25,360,0,0,111,4,High,8-12yrs
850,0,0,1,74,25,124000,74,6.75,360,0,0,52,4,High,4-8yrs
850,0,30,1,95,27,132000,95,6.625,360,1,2,51,4,High,4-8yrs
850,0,30,1,95,39,122000,95,6.625,360,0,0,46,4,High,0-4yrs
850,0,0,1,52,15,150000,52,7,360,0,0,55,4,High,4-8yrs
850,0,0,1,80,39,300000,80,6.875,360,0,0,39,4,High,0-4yrs
850,0,0,1,78,28,95000,78,6.75,360,0,0,47,4,High,0-4yrs
850,0,25,1,90,35,149000,90,6.625,360,0,0,55,4,High,4-8yrs
850,0,0,1,70,28,80000,70,6.5,360,0,0,212,4,High,16-20yrs
850,0,0,1,54,11,35000,54,6.875,360,0,0,17,4,High,0-4yrs
850,0,25,1,90,34,162000,90,6.5,360,0,0,75,4,High,4-8yrs
850,0,30,1,95,29,226000,95,7,360,1,1,28,4,High,0-4yrs
850,0,12,1,84,41,212000,84,6.75,360,0,0,62,4,High,4-8yrs
850,0,25,1,90,28,51000,90,8.75,360,0,0,29,4,High,0-4yrs
850,0,25,1,90,35,77000,90,7,360,1,6,58,4,High,4-8yrs
850,0,30,1,95,32,110000,95,7.125,360,1,11,83,4,High,4-8yrs
850,0,25,1,90,45,82000,90,6.5,360,0,0,27,4,High,0-4yrs
850,0,0,1,60,14,240000,60,6.5,360,1,2,62,4,High,4-8yrs
850,0,0,1,78,18,112000,78,6.75,360,0,0,10,4,High,0-4yrs
850,0,30,1,95,41,219000,95,7,360,0,0,31,4,High,0-4yrs
850,0,0,1,68,37,236000,68,7.625,360,1,1,45,4,High,0-4yrs
850,0,0,1,36,20,67000,36,6.75,360,0,0,91,4,Medium,4-8yrs
850,0,0,1,55,20,195000,55,6.75,360,1,2,133,4,High,8-12yrs
850,0,30,1,95,28,137000,95,7,360,0,0,37,4,High,0-4yrs
850,0,30,1,96,28,164000,96,6.875,360,0,0,40,4,High,0-4yrs
850,0,0,1,75,45,115000,75,6.5,360,0,0,165,4,High,12-16yrs
850,0,30,1,90,29,198000,90,6.5,360,0,0,11,4,High,0-4yrs
850,0,30,1,97,37,187000,97,7,360,0,0,17,4,High,0-4yrs
850,0,0,1,80,17,60000,80,7,360,0,0,156,4,High,12-16yrs
850,0,0,1,75,37,194000,75,6.625,360,1,1,29,4,High,0-4yrs
850,0,30,1,95,37,147000,95,7,360,1,4,23,4,High,0-4yrs
850,0,0,1,52,23,104000,52,7.25,360,1,1,33,4,High,0-4yrs
850,0,30,1,95,28,72000,95,7.25,360,0,0,43,4,High,0-4yrs
850,0,30,1,95,33,183000,95,7.375,360,0,0,50,4,High,4-8yrs
850,0,0,1,80,32,154000,80,6.875,360,1,1,39,4,High,0-4yrs
